"filename", "language", "JSON", "HTML", "TypeScript", "TOML", "Markdown", "JSON with Comments", "YAML", "Rust", "JavaScript", "PowerShell", "vue", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\RuntimeComponentsInspector.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 0, 0, 0, 19, 292
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\SaveDataSettings.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\SceneSideBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 15, 227
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ScriptStudio.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 19, 240
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\TeamWorkflowPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 4, 67
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\TilemapPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 7, 167
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\ToolBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 10, 101
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\WorkspaceBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 5, 49
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\WorldCanvas.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1023, 0, 0, 0, 69, 1092
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\components\WorldToolsPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 13, 127
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\animationStudioState.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 57
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\commands.ts", "TypeScript", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 109
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\gizmo.ts", "TypeScript", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 95
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\scriptApi.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 76
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\scriptLanguage.ts", "TypeScript", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 98
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\scriptLanguage.worker.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\scriptStudioState.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\selection.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 59
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\editor\workspaces.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 127
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\i18n.ts", "TypeScript", 0, 0, 435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 470
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\layout\EditorLayout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 9, 90
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\layout\SideBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\layout\StatusBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\layout\TopBar.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 9, 214
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\main.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\panels\RendererPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\panels\ScenePanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\steve\OneDrive\Desktop\Nova_A\src\panels\SettingsPanel.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 316, 0, 0, 0, 30, 346
